stream,site_code,site_name,UTM_E,UTM_N,year,month,temperature_C
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2005,3,4.750000000000057
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2005,4,10.150000000000034
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2005,5,13.250000000000057
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2005,6,17.350000000000023
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2005,7,18.850000000000023
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2005,8,16.55000000000001
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2005,9,16.05000000000001
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2005,10,11.250000000000057
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2005,11,4.050000000000011
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2005,12,0.7500000000000568
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2006,1,-1.9499999999999886
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2006,2,0.25000000000005684
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2006,3,2.250000000000057
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2006,4,8.850000000000023
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2006,5,13.650000000000034
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2006,6,17.350000000000023
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2006,7,22.650000000000034
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2006,8,15.450000000000045
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2006,9,17.250000000000057
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2006,10,12.150000000000034
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2006,11,7.150000000000034
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2006,12,4.050000000000011
